ChEMBL ID;Name;Accessions;Type;Organism;Compounds;Activities;Tax ID;Species Group Flag
CHEMBL1075092;Glycine receptor subunit alpha-3;O75311;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075094;Nuclear factor erythroid 2-related factor 2;Q16236;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075097;Arginase-1;P05089;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075101;Hydroxycarboxylic acid receptor 1;Q9BXC0;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075102;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha;O00443;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075104;Leucine-rich repeat serine/threonine-protein kinase 2;Q5S007;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075105;Protein tyrosine phosphatase type IVA 2;Q12974;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075113;Toll-like receptor 3;O15455;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075114;Echinoderm microtubule-associated protein-like 4;Q9HC35;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075115;Dual specificity tyrosine-phosphorylation-regulated kinase 4;Q9NR20;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075116;DNA-binding protein inhibitor ID-1;P41134;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075119;Kinesin-like protein KIFC3;Q9BVG8;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075120;Diacylglycerol kinase delta;Q16760;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075121;Serine hydrolase RBBP9;O75884;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075126;Pyruvate kinase PKLR;P30613;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075127;Baculoviral IAP repeat-containing protein 7;Q96CA5;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075129;Cofilin-1;P23528;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075131;Lactase/phlorizin hydrolase;P09848;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075132;Heat shock protein 75 kDa, mitochondrial;Q12931;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075133;Rhodopsin kinase GRK7;Q8WTQ7;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075137;Proteasome assembly chaperone 3;Q9BT73;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075138;Tyrosyl-DNA phosphodiesterase 1;Q9NUW8;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075139;Ribosomal L1 domain-containing protein 1;O76021;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075144;Neuromedin-U receptor 2;Q9GZQ4;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075145;Transitional endoplasmic reticulum ATPase;P55072;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075149;Cystine/glutamate transporter;Q9UPY5;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075152;Glucokinase regulatory protein;Q14397;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075153;Tumor necrosis factor receptor superfamily member 10B;O14763;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075155;Serine/threonine-protein kinase 38;Q15208;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075157;Diacylglycerol kinase gamma;P49619;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075162;Uracil nucleotide/cysteinyl leukotriene receptor;Q13304;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075163;Serine/threonine-protein kinase haspin;Q8TF76;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075165;Phosphatidylinositol 3-kinase catalytic subunit type 3;Q8NEB9;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075166;G protein-coupled receptor kinase 3;P35626;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075167;Homeodomain-interacting protein kinase 4;Q8NE63;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075169;Protein tyrosine phosphatase type IVA 1;Q93096;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075173;Serine/threonine-protein kinase WNK1;Q9H4A3;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075178;Neuromedin-U receptor 1;Q9HB89;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075180;CD81 antigen;P60033;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075181;Pyridoxal kinase;O00764;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075184;Proto-oncogene serine/threonine-protein kinase mos;P00540;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075187;Diacylglycerol kinase epsilon;P52429;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075189;Pyruvate kinase PKM;P14618;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075195;Serine/threonine-protein kinase TAO2;Q9UL54;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075196;Kinesin-like protein KIF3C;O14782;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075314;Vitronectin;P04004;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075315;C-X-C chemokine receptor type 5;P32302;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075317;WD repeat-containing protein 5;P61964;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075319;Transient receptor potential cation channel subfamily M member 8;Q7Z2W7;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075322;G-protein coupled receptor 55;Q9Y2T6;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075323;Endoplasmin;P14625;SINGLE PROTEIN;Homo sapiens;;;9606;False
CHEMBL1075382;23132-87;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075383;639-V;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075384;647-V;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075385;769-P;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075386;8305C;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075387;8505C;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075391;ABC-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075392;AN3-CA;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075393;AU565;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075394;BCPAP;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075395;BEN;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075396;BFTC-905;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075397;BFTC-909;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075398;BHT-101;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075399;BHY;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075400;C-4-II;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075401;C32;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075402;C3A;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075403;Ca-Ski;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075404;Ca9-22;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075405;CAL-120;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075406;CAL-12T;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075407;CAL-148;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075408;CAL-27;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075409;CAL-33;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075410;CAL-39;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075411;CAL-51;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075412;CAL-54;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075413;CAL-62;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075414;CAL-72;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075415;CAL-85-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075416;CAMA-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075417;Capan-2;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075418;CaR-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075419;CCF-STTG1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075421;ChaGo-K-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075422;CHL-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075423;CHP-212;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075425;COLO-678;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075426;COLO-679;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075427;COLO-680N;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075428;COLO-741;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075429;COLO-792;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075430;COLO-824;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075431;COR-L105;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075432;Detroit 562;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075433;DK-MG;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075434;DMS-53;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075435;DOK;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075436;DoTc2-4510;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075437;DV-90;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075438;EFE-184;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075439;EFM-19;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075440;EFO-21;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075441;EFO-27;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075442;EGI-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075443;EPLC-272H;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075444;ESS-1;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075445;FTC-133;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075446;G-402;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075447;GAMG;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075448;GCT;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075449;GMS-10;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075450;GP5d;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075451;H-EMC-SS;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075452;H4;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075453;HCC1143;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075454;HCC1395;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075455;HCC1419;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075456;HCC1569;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075457;HCC1806;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075458;HCC1937;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075459;HCC1954;;CELL-LINE;Homo sapiens;;;9606;False
CHEMBL1075460;HCC38;;CELL-LINE;Homo sapiens;;;9606;False
