From	To
A8K052	A1BG
P04217	A1BG
Q68CK0	A1BG
Q8IYJ6	A1BG
Q96P39	A1BG
V9HWD8	A1BG
P01023	A2M
Q13677	A2M
Q59F47	A2M
Q5QTS0	A2M
Q68DN2	A2M
Q6PIY3	A2M
Q6PN97	A2M
A8K4E7	NAT1
O15159	NAT1
O15300	NAT1
P18440	NAT1
Q546N1	NAT1
Q96TE9	NAT1
Q9HAQ5	NAT1
F5H5R8	NAT1
A0A0S2A5X5	NAT2
A4Z6T7	NAT2
A4Z6T9	NAT2
A4Z6U4	NAT2
A4Z6V9	NAT2
A4Z6Y3	NAT2
A4Z6Y5	NAT2
A4Z7J7	NAT2
A9X816	NAT2
A9X854	NAT2
O43637	NAT2
O60654	NAT2
O60655	NAT2
P11245	NAT2
Q13146	NAT2
Q16697	NAT2
Q2MLE4	NAT2
Q2MLF5	NAT2
Q2MLG8	NAT2
Q2MLJ6	NAT2
Q2MLK4	NAT2
Q2MLK6	NAT2
Q2MLN7	NAT2
Q6LET4	NAT2
Q86XS0	NAT2
Q86XS1	NAT2
Q96KY8	NAT2
Q96T64	NAT2
Q96T65	NAT2
Q9H220	NAT2
A4Z6U9	NAT2
A9X7Q9	NAT2
A9X7X6	NAT2
B3KS79	SERPINA3
B3KVQ7	SERPINA3
P01011	SERPINA3
Q13703	SERPINA3
Q2TU87	SERPINA3
Q2TU88	SERPINA3
Q59GP9	SERPINA3
Q6LBY8	SERPINA3
Q6LDT7	SERPINA3
Q6NSC9	SERPINA3
Q8N177	SERPINA3
Q96DW8	SERPINA3
Q9UC47	SERPINA3
Q9UNU9	SERPINA3
A8K3L3	AADAC
D3DNJ6	AADAC
P22760	AADAC
Q8N1A9	AADAC
C9JG97	AAMP
Q13685	AAMP
Q8WUJ9	AAMP
Q96H92	AAMP
C9JEH3	AAMP
A0AVF2	AANAT
F1T0I5	AANAT
J3KMZ5	AANAT
Q16613	AANAT
Q562F4	AANAT
A0A6Q8PF33	AARS1
A6NF14	AARS1
B4DR45	AARS1
P49588	AARS1
Q53GV7	AARS1
Q96FA0	AARS1
A0A6Q8PH44	AARS1
A0A6Q8PHJ2	AARS1
A8K386	ABAT
H3BRN4	ABAT
P80404	ABAT
Q16260	ABAT
Q8N5W2	ABAT
Q96BG2	ABAT
Q99800	ABAT
X5D8S1	ABAT
H3BNQ7	ABAT
B2RUU2	ABCA1
B7XCW9	ABCA1
O95477	ABCA1
